,id,rating,rating_timestamp,key_agg
0,1,3.8881574960610834,1996-01-29 00:00:00,
1,2,3.2369531849577897,1996-01-29 00:00:00,"['underdog', 'prison', 'factory worker', 'prisoner', 'helsinki', 'independent film', 'falling in love']"
2,3,3.1755501064722202,1996-01-29 23:54:45,"['salesclerk', 'helsinki', 'garbage', 'independent film']"
3,4,2.8757128480375713,1996-02-01 14:33:45,
4,5,3.079564818455892,1996-01-29 23:54:46,"['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']"
5,6,3.841763756945689,1996-02-01 14:34:00,"['chicago', 'drug dealer', 'boxing match', 'escape', 'one night']"
6,7,3.372105297882167,1996-01-29 00:00:00,
7,8,3.1291913214990137,1996-02-01 14:34:25,
8,9,3.008365362875876,1996-02-01 14:34:08,
9,10,3.431840536054589,1996-01-29 00:00:00,
10,11,3.6605905006418484,1996-01-29 00:00:00,"['android', 'galaxy', 'hermit', 'death star', 'lightsaber', 'jedi', 'rescue mission', 'empire', 'rebellion', 'planet', 'smuggler', 'the force', 'space opera', 'galactic war', 'stormtrooper', 'totalitarianism']"
11,12,2.6721787709497207,1996-01-29 00:00:00,"['father son relationship', 'harbor', 'underwater', 'fish tank', 'great barrier reef', 'missing child', 'aftercreditsstinger', 'duringcreditsstinger', 'short term memory loss', 'clownfish', 'father son reunion', 'protective father']"
12,13,3.326441784548422,1996-02-02 12:33:34,"['vietnam veteran', 'hippie', 'mentally disabled', 'running', 'based on novel', 'vietnam', 'vietnam war', 'friendship', 'love', 'family relationships', 'bully', 'mother son relationship', 'military', 'hugging', 'shrimping', 'wounded soldier', 'flashback', 'park bench', 'amputee']"
13,14,3.4308065226972233,1996-01-29 23:54:59,"['male nudity', 'female nudity', 'adultery', 'parent child relationship', 'midlife crisis', 'coming out', 'first time', 'camcorder', 'virgin', 'nudity', 'film maker', 'estate agent', 'satire', 'loneliness', 'dark comedy', 'suburbia', 'coming of age', 'marijuana', 'exercise', 'bittersweet', 'affair']"
14,15,2.72704,1996-01-30 00:00:56,"['journalist', 'newspaper', 'florida', 'capitalist', 'banker', 'media tycoon', 'art collector', 'sleigh', 'money', 'child']"
15,16,3.7955110396256764,1996-01-29 23:54:44,"['individual', 'dancing', 'usa', 'robbery', 'factory worker', 'secret', 'factory', 'small town', 'dance', 'blindness and impaired vision', 'death penalty', 'immigrant', 'eye operation', 'eyesight', 'fantasy', 'naivety', 'self-abandonment', 'hereditary disease', 'loss of eyesight', 'czech', 'dying and death', 'van', 'friendship', 'murder', 'teacher', 'debt', 'execution', 'crime', 'police officer']"
